Date,PG,IBM,GE,F
1995-10-31,11.979142999999999,17.417248,5.675374,5.554917
1995-11-01,12.182491,17.350088,5.585643,5.5066120000000005
1995-11-02,12.330387,17.842606,5.6978029999999995,5.566992
1995-11-03,12.3119,18.178419,5.630508,5.530764
1995-11-06,12.127036,17.999319,5.641726,5.554917
1995-11-07,11.979142999999999,17.685894,5.6978029999999995,5.554917
1995-11-08,12.200981,17.551233,5.821182,5.48246
1995-11-09,12.330387,17.66346,5.832396,5.434157
1995-11-10,12.274922,17.483904000000003,5.888478,5.5066120000000005
1995-11-13,12.478273,17.483904000000003,5.888478,5.5066120000000005
1995-11-14,12.330387,17.124798000000002,5.877264,5.554917
1995-11-15,12.848003,17.147245,5.922130999999999,5.627372
1995-11-16,12.99589,17.169683,6.067938,5.627372
1995-11-17,13.162270000000001,17.079916,6.011858,5.530764
1995-11-20,12.977407000000001,16.698364,5.966993,5.603221
1995-11-21,12.792544,16.967688,6.045505,5.627372
1995-11-22,12.607683,17.102354000000002,5.94456,5.627372
1995-11-24,12.792544,17.214569,5.922130999999999,5.603221
1995-11-27,12.977407000000001,17.214569,5.866046,5.579066
1995-11-28,12.607683,17.416567,6.011858,5.530764
1995-11-29,12.718598,17.439013,6.067938,5.579066
1995-11-30,12.792544,17.349239,6.023075,5.458308000000001
1995-12-01,12.533738,17.012579000000002,6.157668,5.579066
1995-12-04,12.496764,17.259457,6.236181,5.772282
1995-12-05,12.829514,17.192127,6.269829,5.651522
1995-12-06,13.014378,17.192127,6.404422,5.579066
1995-12-07,13.014378,17.012579000000002,6.3595559999999995,5.530764
1995-12-08,12.884978,17.394129,6.314692,5.530764
1995-12-11,12.811028,17.281906,6.348342,5.554917
1995-12-12,12.718598,17.124798000000002,6.460505,5.48246
1995-12-13,12.792544,16.967688,6.460505,5.530764
1995-12-14,12.737086999999999,16.833031,6.404422,5.48246
1995-12-15,12.718598,16.204588,6.494153,5.458308000000001
1995-12-18,12.404328999999999,15.980151000000001,6.516587,5.458308000000001
1995-12-19,12.441305,16.496363,6.460505,5.530764
1995-12-20,12.219466,16.047476,6.2810440000000005,5.627372
1995-12-21,12.182491,16.316817999999998,6.3259099999999995,5.699825
1995-12-22,12.274922,16.384135999999998,6.4268529999999995,5.723978
1995-12-26,12.348874,16.473923000000003,6.471721,5.723978
1995-12-27,12.293408,16.518801,6.479398000000001,5.603221
1995-12-28,12.3119,16.18215,6.422959,5.579066
1995-12-29,12.274922,16.406589999999998,6.501975,5.579066
1996-01-02,12.293408,16.316817999999998,6.637432,5.675674
1996-01-03,12.663139,16.025042000000003,6.648719,5.772282
1996-01-04,12.866489,15.598606,6.569705,5.723978
1996-01-05,12.921948,15.912823999999999,6.580992999999999,5.579066
1996-01-08,12.977407000000001,16.002588,6.626146,5.579066
1996-01-09,12.958917999999999,15.576159,6.562639999999999,5.458308000000001
1996-01-10,12.792544,15.665934,6.355226999999999,5.313398
1996-01-11,12.589196000000001,15.665934,6.366517,5.458308000000001
1996-01-12,12.626166,15.508825,6.343938,5.361701999999999
1996-01-15,12.663139,14.925285,6.343938,5.361701999999999
1996-01-16,13.125294,15.621047,6.400379,5.361701999999999
1996-01-17,12.813319,15.733273,6.445533,5.361701999999999
1996-01-18,12.79475,17.281906,6.5471260000000004,5.289246
1996-01-19,12.906166,18.314327,6.705161,5.361701999999999
1996-01-22,12.831895,18.359222,6.682587,5.579066
1996-01-23,12.79475,18.493887,6.5922789999999996,5.675674
1996-01-24,13.110439000000001,19.212091,6.660006,5.723978
1996-01-25,12.739042,18.695879,6.750311999999999,5.675674
1996-01-26,12.924742,18.808104999999998,6.818042,5.651522
1996-01-29,12.683322,19.122320000000002,6.761603999999999,5.6710769999999995
1996-01-30,12.609047,19.503868,6.818042,5.768853
1996-01-31,12.47906,19.481424,6.930923,5.768853
1996-02-01,12.460492,19.571205,6.9535,5.964405999999999
1996-02-02,12.386209,19.683418,6.964791,5.842187
1996-02-05,12.441916,20.154745000000002,7.055096000000001,5.842187
1996-02-06,12.293362,20.603622,7.145397,5.817742
1996-02-07,12.441916,20.266233,7.077667999999999,5.842187
1996-02-08,12.776183,20.423681,7.179264,5.768853
1996-02-09,13.036163,20.423681,7.1679770000000005,5.91552
1996-02-12,12.869029,20.738581,7.19055,5.964405999999999
1996-02-13,13.017591,20.446173,7.20184,6.037742
1996-02-14,12.739042,20.558638000000002,7.111534,6.062183
1996-02-15,12.813319,21.165948999999998,7.043805,5.91552
1996-02-16,12.79475,21.233423000000002,6.998653999999999,5.988851
1996-02-20,12.534772,21.435869,6.9535,5.866632
1996-02-21,12.423354,21.638304,7.032519000000001,5.964405999999999
1996-02-22,12.311932,22.33559,7.19055,6.062183
1996-02-23,12.386209,22.605501,7.20184,5.939965
1996-02-26,12.404779,22.470535,7.088955,5.988851
1996-02-27,12.330503,23.167835,7.0212270000000006,6.111077
1996-02-28,12.200512,22.92041,6.874483000000001,6.159962
1996-02-29,12.181939,22.065668,6.818042,6.111077
1996-03-01,12.571907000000001,21.255926000000002,6.942214999999999,6.159962
1996-03-04,12.720474000000001,20.896038,7.074853999999999,6.257736
1996-03-05,12.999024,21.413372,7.1089210000000005,6.331072
1996-03-06,12.850465,21.05349,7.074853999999999,6.282183
1996-03-07,12.999024,21.075974,7.074853999999999,6.331072
1996-03-08,12.664760000000001,20.558638000000002,6.790953,6.111077
1996-03-11,12.776183,21.098467000000003,6.949936,6.331072
1996-03-12,12.720474000000001,20.558638000000002,6.813662,6.355519
1996-03-13,12.553341,20.851051000000002,6.779592,6.404407
1996-03-14,12.497634,21.030993,6.825016000000001,6.4532940000000005
1996-03-15,12.349063000000001,21.570823999999998,6.881799000000001,6.355519
1996-03-18,12.683322,22.425556,7.074853999999999,6.624402000000001
1996-03-19,12.664760000000001,21.908216,7.006716,6.575514999999999
1996-03-20,12.924742,21.05349,7.018072,6.648847
1996-03-21,12.943307,20.671105999999998,7.029428,6.624402000000001
1996-03-22,13.054731,20.558638000000002,7.120277000000001,6.575514999999999
1996-03-25,12.8876,19.568943,7.177060000000001,6.648847
1996-03-26,12.980449,19.928835,7.177060000000001,6.575514999999999
1996-03-27,12.739042,20.018806,7.1657020000000005,6.575514999999999
1996-03-28,12.739042,19.74889,7.1089210000000005,6.697736
1996-03-29,12.590483,20.018806,7.074853999999999,6.722179
1996-04-01,12.831895,19.861349,7.211125,6.844403
1996-04-02,12.813319,21.165948999999998,7.222478999999999,6.917738000000001
1996-04-03,12.8876,21.548325,7.290619,6.844403
1996-04-04,12.943307,21.188442000000002,7.301978999999999,6.8932899999999995
1996-04-08,12.571907000000001,21.480864999999998,7.23384,6.8932899999999995
1996-04-09,12.330503,21.210933999999998,7.120277000000001,6.8932899999999995
1996-04-10,12.033382000000001,20.873541,6.961289999999999,6.746625
1996-04-11,12.200512,21.143456,6.870439999999999,6.59996
1996-04-12,12.367646,20.063786,6.984005000000001,6.697736
1996-04-15,12.516197,20.536142,7.1089210000000005,6.795514
1996-04-16,12.683322,20.783562,7.063496000000001,6.917738000000001
1996-04-17,12.537805,18.939132999999998,7.1089210000000005,7.162178
1996-04-18,12.612432,18.984126999999997,7.199769,7.015510000000001
1996-04-19,12.500485000000001,18.96163,7.188414,6.966625
1996-04-22,12.705718,19.299025,7.222478999999999,7.015510000000001
1996-04-23,12.687063,19.254038,7.211125,7.0644029999999995
1996-04-24,12.612432,19.209055,7.177060000000001,6.991069
1996-04-25,12.761695,19.478966,7.086206,6.8932899999999995
1996-04-26,12.668408,19.389004,7.074853999999999,6.8932899999999995
1996-04-29,12.575116,19.54645,7.052138,7.015510000000001
1996-04-30,12.612432,19.389004,7.018072,7.0846279999999995
1996-05-01,12.649742999999999,19.411483999999998,7.074853999999999,7.257427000000001
1996-05-02,12.407196,19.411483999999998,7.040781,7.035259
1996-05-03,12.388539,19.456476000000002,6.995360000000001,7.059943
1996-05-06,12.425858,19.254038,6.927224000000001,7.010575
1996-05-07,12.332567999999998,19.051605,6.847728999999999,7.109317
1996-05-08,12.575116,19.114798,6.90451,7.059943
1996-05-09,12.771019,19.317895999999998,6.995360000000001,7.0846279999999995
1996-05-10,12.873634,19.205060999999997,7.063496000000001,6.9858910000000005
1996-05-13,12.985581,19.430733,7.131632000000001,7.059943
1996-05-14,12.948265,19.611284,7.1657020000000005,7.183367
1996-05-15,12.966925999999999,19.678988,7.154342999999999,7.158684
1996-05-16,13.097526,19.611284,7.256550999999999,7.257427000000001
1996-05-17,13.078868,20.017502,7.381467,7.356167
